company,position,location,full_text,details,post_date
Apple,Video Content Data Scientist,"Culver City, CA","Video Content Data Scientist, Apple, Culver City, CA, Hide job, 10 connections work here, 1 week ago","Summary

Services at Apple help hundreds of millions of customers get the most out of the devices they love through amazing apps, award-winning shows and movies, immersive music in spatial audio, world-class workouts and meditations, super fun games and more.


The Apple Media Products Data Science & Analytics organization is passionate about developing discerning insights and machine learning solutions to help continually improve these services and accelerate growth while maintaining a strong dedication to customer privacy.


The Apple Media Products Data Science & Analytics team is looking for a data scientist to help support the Video business teams (including TV+) with insights on content performance, strategy, and customer experience in the TV app, specifically as relates to Sports content.


As a key member of our diverse and dynamic organization, we have the rare and rewarding opportunity to work with datasets of unique magnitude, richness, and dedication to customer privacy that will frequently require innovative approaches. We work collaboratively with partners across Business, Marketing, Product and Engineering daily to deliver material customer and business value.


Key Qualifications

Experience extracting insights from large datasets, more specifically familiarity with languages like Python and SQL

Familiarity employing analytics methodologies to tackle broad problems related to classification, clustering, and forecasting.

Comfort working with across multiple business teams, including both technical and non-technical partners.

Strong organizational and communication skills.

Knowledge of the Video and Sports domains.


Description

Provide analytics insights to support decision-making for business and creative teams in the video domain.


Help define Engineering requirements for new datasets and data products to support new feature and content releases.


Collaborate with other data scientists supporting subscription and marketing initiatives to ensure a comprehensive understanding of the video business.


Work closely with TV+ and Sports leads to advise their roadmap and content strategy.


Education & Experience

Bachelors degree in Computer Science, Statistics, Mathematics, Engineering, or related field.


Past experience in the video domain is preferred, but not required


Role Number: 200450543",1 week ago
Apple,Machine Learning Engineer,"Cupertino, CA","Machine Learning Engineer, Apple, Cupertino, CA, Hide job, 10 connections work here, Promoted","Summary

Apple's Streaming Media Team, is looking for self motivated and dedicated engineers to join our team. We work on technologies that power streaming media experiences on native and 3rd party platforms (e.g, iPhone, ATV, 3rd party smart TV’s, etc). Such technologies enable a client app to stream at UHD quality from your favorite video services (e.g. ATV+, iTunes Movies, HBO, Hulu, etc) without stalling. We are looking for engineers who are familiar with video streaming using web based technologies. If you are passionate about solving challenging problems with creative solutions, then this job maybe a perfect fit for you.


Key Qualifications

Software development experience in one or more of these areas: JavaScript, C/C++

Excellent analytical, programming and debugging skills

Strong communication and collaboration skills

Passion for learning new technologies, and results oriented with a positive and upbeat attitude


Description

As a media streaming engineer in this role, you will be responsible for developing high quality playback experiences in JavaScript for embedded platforms. You will be responsible for developing features pertaining to streaming, contributing to media systems design, analyzing performance, and tuning algorithms for streaming media playback on various platforms.


Education & Experience

BS or MS in CS/CE/EE or equivalent


Additional Requirements

Nice to have, but not required:


Knowledge of adaptive streaming technologies such as HTTP Live Streaming (HLS), DASH, etc

Experience using HTML5 based video playback technologies, such as MSE (Media Source Extensions) and EME (Encrypted Media Extensions)

Working knowledge of media codecs, container formats and transport protocols (e.g., MPEG-2, H.264/AVC, AAC, AC3, MP4, MPEG-2 TS, etc)

Proficiency developing in multi-browser environments (Safari, Chrome, etc) with troubleshooting skills using network analysis tools such as WireShark, etc

Experience in developing streaming players using JavaScript (e.g., hls.js)


Role Number: 200203587",
Apple,Machine Learning Engineer - DI Optimization - Ad Platforms,"New York, NY","Machine Learning Engineer - DI Optimization - Ad Platforms, Apple, New York, NY, Hide job, You have a preferred skill badge, Promoted","Summary

At Apple, we work every single day to create products that enrich people’s lives. Our Advertising Platforms group makes it possible for people around the world to easily discover informative and imaginative content on their devices while helping publishers and developers promote and monetize their work. Our technology and services power advertising in the App Store and Apple News. Our platforms are highly performant, deployed at scale, and set new standards for enabling effective advertising while protecting user privacy.



The Ad Platforms Data Insights team is seeking a machine learning engineer to join in developing the next generation of analytical solutions working with Engineering, Product, Sales, Marketing, and Finance. In this role you will work as a key member of a data-centric team to drive the exploration, analysis, development, execution, and measurement of analytical solutions that are essential to running and growing the business.



Responsibilities include turning the huge amounts of data generated by user searches, app content, and App Store context into business insights that improve the customer experience for the end-user as well as drive discovery and productivity for app developers. Do you have experience in applied research with expertise in pattern mining, anomaly detection, text analytics, predictive modeling, classification, and optimization? This role requires both a broad knowledge of existing data mining algorithms and creativity to invent and customize when necessary. You'll dig in and get into the details. The theory behind the techniques are just the beginning. You'll be working on projects where practical applications of these approaches get applied in real-world scenarios.



Successful analytics teams involve data scientists and data engineers working hand in hand to build insightful and efficient solutions. In your role, you will be a key player in a multi-functional team that delivers insights that have direct and measurable impact. We're looking for a smart, collaborative, and passionate person to join this amazing team.


Key Qualifications

6+ years of recent experience in a data science or machine learning engineering role. Preferably experience in the digital advertising industry or related field.

Programming skills in Python and SQL, and familiarity with packages like sk-learn, xgboost, PyTorch, JAX, etc highly desirable.

Comfortable with hybrid cloud technologies such as Hadoop, AWS, Snowflake, Spark and PySpark. Familarity with job orchestration frameworks like Airflow also desireable.

Experience in quantitative analysis including regression, classification, clustering, and time-series analyses. Experience in geospatial analysis, deep learning, and / or natural language processing preferred.

Ability to communicate the results of analyses in a clear and effective manner with product and leadership teams to influence the overall strategy of the product

Ability to partner with engineering, meet the data needs of the business, finding creative analytical solutions and develop initial prototypes to address messy business problems.

Experience with end-to-end implementation of a model prototype specifically training, processing, feature engineering, evaluating model outputs, and putting models into production

Ability to operate comfortably and effectively in a fast-paced, multi-functional, rapidly changing environment.


Description

* Support Product, Marketing, Sales and the Executive Team with analytics for product performance and customer insight

* Empower the global Sales teams with insights to advise and fulfill their strategic objectives and goals

* Quantify the impact of product, sales, and marketing initiatives on advertiser performance, satisfaction, and future behavior

* Forecast performance and yield by advertiser cohorts; create propensity models to drive marketing and sales strategies

* Design and evaluate experiments that help define opportunities for increased usage, improved marketplace performance, and greater customer happiness

* Monitor usage metrics and provide business-based explanations for large scale trends and patterns in advertiser lifecycle behavior. Detect and surface anomalies

* Develop reusable models and assets working closely with Data Technology team to ensure scalability and industrialization as models move into production

* Lead business analytics projects through all phases, including defining investigations, exploring data, conducting analysis, interpreting, and presenting results for stakeholders


Education & Experience

Background in computer science, mathematics, or similar quantitative field with a minimum of 6 years professional experience. Graduate degrees in these fields a plus.


Pay & Benefits

At Apple, your base pay is one part of your total compensation package. This role pays between $161,000 and $278,000, and your actual base pay will depend on your skills, qualifications, experience, and location.

Apple employees also have the opportunity to own shares of Apple stock, because all Apple employees are eligible for discretionary restricted stock unit awards, as well as a discount when purchasing Apple stock if voluntarily participating in Apple’s Employee Stock Purchase Plan. You’ll also receive other benefits: Comprehensive medical and dental coverage, retirement benefits, a range of discounted products and free services, and for formal education related to advancing your career at Apple, reimbursement for certain educational expenses — including tuition. Additionally, this role might be eligible for discretionary bonuses or commission payments as well as relocation. Learn more about Apple Benefits.

Note: Apple benefits programs are subject to eligibility requirements.


Role Number: 200432581",
Apple,Data Scientist- Sales Operations / Tableau,"Austin, TX","Data Scientist- Sales Operations / Tableau, Apple, Austin, TX, Hide job, 10 connections work here, 2 weeks ago","Summary

JOB SUMMARY

At Apple, we work every day to build products that enrich people’s lives. Our Advertising Platforms group makes it possible for people around the world to easily access informative and imaginative content on their devices while helping publishers and developers promote and monetize their work. Our technology and services power advertising in Apple News and Search Ads in App Store. Our platforms are highly-performant, deployed at scale, and setting new standards for enabling effective advertising while protecting user privacy. Launched in 2016, it is an easy, efficient and fast-growing platform for app discovery. With over 65% of all app downloads resulting directly from a search in the App Store, Search Ads is quickly becoming the app promotion platform of choice for iOS developers. We are looking for a hard-working and hardworking Data Scientist to support our growing advertising business. In this role, you will work within our Sales Operations team to support and empower the sales organization by building impactful analyses and insights. You’ll help us architect sophisticated but practical insights, establish strategies/priorities based on empirical observations and measure success.


Key Qualifications

- record of solving sophisticated analytical problems and positively influencing business outcomes


- 3+ years of experience in developing optimized, complex SQL queries across large volumes of data in both relational and multifaceted data sources such as Hadoop, Snowflake or related


- 3+ years of experience in applying Tableau to develop robust, interactive and visually impactful dashboards


- Experience to automate and scale analyzes and dashboards


- Outstanding written and verbal communication skills with experience building stories and narratives out of data


- Excellent research, project management, and interpersonal skills


Description

successful candidate will have deep experience in applied analytical methods, experience building reporting dashboards, and using those methods and tools to drive key business insights. The role requires both a broad knowledge of existing data science techniques and strong business sense. You’ll be working on projects where tools and methods are used to drive real-world business value, using creativity to invent and customize when vital. - Drive the generation of insights and identify trends/key metrics from large, sophisticate data in support of our global sales organization - Support the rollout of sales strategies by building foundational data sets and analyses, incorporating a focus on measuring outcomes and success - Partner multi-functionally within Advertising Platforms to ensure accurate data quality, availability and governance - Build and improve internal business intelligence, data visualization and reporting capabilities


Education & Experience

BS in data science, statistics, economics, computer science or other quantitative field. Advanced degree preferred.


Additional Requirements

Experience with advertising, measurement, and/or digital analytics

Apple’s most important resource, our soul, is our people. Apple benefits help further the well-being of our employees and their families in meaningful ways. No matter where you work at Apple, you can take advantage of our health and wellness resources and time-away programs. We’re proud to provide stock grants to employees at all levels of the company, and we also give employees the option to buy Apple stock at a discount — both offer everyone at Apple the chance to share in the company’s success. You’ll discover many more benefits of working at Apple, such as programs that match your charitable contributions, reimburse you for continuing your education and give you special employee pricing on Apple products. Apple benefits programs vary by country and are subject to eligibility requirements. Apple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics. Apple dedicated to working with and providing reasonable accommodation to applicants with physical and mental disabilities.


Role Number: 200439592",2 weeks ago
Apple,Data Scientist - Batteries,"Cupertino, CA","Data Scientist - Batteries, Apple, Cupertino, CA, Hide job, 10 connections work here, 2 weeks ago","Summary

Do you have a passion for invention and self-challenge? Do you thrive on pushing the limits of what’s considered feasible? As part of our Battery Engineering group, you’ll help craft creative battery solutions that deliver more energy in smaller spaces than ever before! We work across subject areas to transform improved hardware elements into a single, integrated design. Join us, and you’ll help us innovate new battery technologies that continually outperform the previous iterations. By collaborating with other product development groups across Apple, we push the industry boundaries of what batteries can do and improve the product experience for our customers across the world! This position works within a multi-functional team supporting the entire Battery Department to identify trends, mine data, and help the battery team improve performance.


Key Qualifications

Proven working knowledge of statistical and data mining for causal analysis.

Strong expertise in processing and visualizing and analyzing big data as well as automating processes using a scripting language (Python, R, etc.).

Solid understanding of Python, JMP, SQL, and Tableau.

Experience in machine learning algorithms including ensemble-based approaches, probability networks, association rules, clustering, regression, and neural networks.

Strong problem-solving skills to address ad-hoc analytics requests with a sense of urgency by using engineering knowledge and analytics/ML skills based on different data sources, including time series dataset.

Experience in anomaly detection based on time series or other datasets.

Self-starter to interact with other functions, shown creativity to go beyond current tools to deliver the best solution to the problem.

Effective interpersonal skills to articulate difficult technical topics, especially causal inference, to collaborators including peer data scientists, design engineers, and business partners.

Strong analytics, statistical, and ML skills. Battery experience is preferred.


Description

The goal of the Battery Analytics team is to turn data into useful insights using battery knowledge as well as statistical, quantitative, and machine learning technologies.

- Analyze factory, field, and failure data and use engineering understanding to collaborate with cross-functional teams to resolve battery issues.

- Quick study to understand end to end nature of Apple DB to organize proper sample size, proper data pull, and minimize SQA issues with maximum efficiency.

- Design, implement, process and workflow and interpret data; Apply advanced technologies, for modeling enhancements, especially to drive causation with extraordinary battery mechanistic expertise.

- Develop time-series data and cycling data visualization and analytics capability, conduct comparative studies, identify early signals, and lead deep dive for FA.

- Lead resolution of out-of-family forecasts for KPIs such as swell, impedance, and capacity.

- Solid understanding of Python, JMP, SQL, and Tableau.

- Battery Engineering expertise, analytics, statistical, and ML skills.


Education & Experience

BS plus 3 years of relevant industry experience. Advanced degree preferred.


Role Number: 200446445",2 weeks ago
Apple,"Manager, Apple Original Content Engineering","Culver City, CA","Manager, Apple Original Content Engineering, Apple, Culver City, CA, Hide job, 10 connections work here, Promoted","Summary

The Apple Media Products Engineering team is one of the most exciting examples of Apple’s long-held passion for combining art and technology. These are the people who power the App Store, Apple TV, Apple Music, Apple Podcasts, and Apple Books. And they do it on a massive scale, meeting Apple’s high expectations with high performance to deliver a huge variety of entertainment in over 35 languages to more than 150 countries.


These engineers build secure, end-to-end solutions. They develop the custom software used to process all the creative work, the tools that providers use to deliver that media, all the server-side systems, and the APIs for many Apple services.


Thanks to Apple’s unique integration of hardware, software, and services, engineers here partner to get behind a single unified vision. That vision always includes a deep commitment to strengthening Apple’s privacy policy, one of Apple’s core values.


Although services are a bigger part of Apple’s business than ever before, these teams remain small, nimble, and cross-functional, offering greater exposure to the array of opportunities here.


Key Qualifications

Minimum 8 years of experience, at least 2 of which are in a lead or management role.

Experience working with and leading cross-functional technical teams.

Experience mentoring and growing software engineers.

Willingness to take ownership and set direction, especially in gray areas.

Deep knowledge and experience building applications with Java, C#, C++, or Python.

Deep knowledge and experience building resilient cloud-based systems.

Deep knowledge and experience modeling data in relational or NoSQL databases.

Superb verbal and written communications skills.

Collaborative, team-oriented demeanor.


Description

We are looking for a highly experienced, self-starting, and results-oriented engineering manager who is not afraid to question assumptions as they build large-scale, data-driven systems to enable the growth of Apple’s Original Content during these critical early days and into the future.


We’re a new team, and all of our work is green-field. We build platforms, tools, and systems to scale and optimize Apple’s Original Content post-production workflows. Our entire tech stack is on cloud-based infrastructure, from the UI to the data, and everything in between. We’re looking for an engineering manager who dives deep into tech and is trusted by their peers to come up with the best solutions for any problems. We look for extraordinary people who can solve problems, foster trust, collaborate across product design, business, and other engineering teams to deliver scalable and maintainable solutions.


This is an outstanding opportunity to build at Apple’s scale in the media services industry and within AMP (the fastest growing division within Apple).


If you’re passionate and creative while staying focused and curious, we’ve got an exciting role for you. Apple’s Original Content is a brand-new, and it’s up to us to make it explode! Sound like you? Join us!


Education & Experience

BS/MS in Computer Science or equivalent.


Role Number: 200312677",
Apple,Machine Learning Engineering Manager - Apple Media Products (AMP),"Seattle, WA","Machine Learning Engineering Manager - Apple Media Products (AMP), Apple, Seattle, WA, $111K/yr - $156K/yr (LinkedIn est.), Hide job, 206 company alumni work here, Promoted","Summary

The Apple Media Products Engineering team is one of the most exciting examples of Apple’s long-held passion for combining art and technology. These are the people who power the App Store, Apple TV, Apple Music, Apple Podcasts, and Apple Books. And they do it on a massive scale, meeting Apple’s high expectations with dedication to deliver a huge variety of entertainment in over 35 languages to more than 150 countries.


These engineers build secure, end-to-end solutions. They develop the custom software used to process all the creative work, the tools that providers use to deliver that media, all the server-side systems, and the APIs for many Apple services. Thanks to Apple’s unique integration of hardware, software, and services, engineers here partner to get behind a single unified vision. That vision always includes a deep dedication to strengthening Apple’s privacy policy, one of Apple’s core values. Although services are a bigger part of Apple’s business than ever before, these teams remain small, nimble, and cross-functional, offering greater exposure to the array of opportunities here.


We are seeking an extraordinary Machine Learning Engineering Manager to grow and lead our team of engineers in Seattle, innovate and craft the foundation of ML engineering to make our ML solutions secure, private, performant and scalable.


Key Qualifications

4+ years of managing small- to mid-sized machine learning engineering team(s).


Experience working across organizational boundaries in a globally distributed team.


Experience in strategically initiating projects, defining roadmaps and supporting others to guide them to completion.


Experience in building highly efficient and scalable machine learning platform


Proven track record in building high quality Machine Learning solutions.


A history of successfully developing junior and senior data science team members.


Superb communication skills, both written and verbal.


Strong expertise in one or more of statistics, econometrics and machine learning.


Adept in coding using Java/Scala, Python or another high-level programming language.


Experience across multiple components of a modern big data tech stack is preferred, e.g., Spark for processing large datasets, Airflow for workflow orchestration.


Description

You will have the opportunity to lead and grow a new team in our Seattle office. Your team will research and develop innovative ML solutions for challenging problems that will impact Apple Media Products. Whether it’s solving a problem for a specific product, or research and develop tools that can change how we develop ML solutions generally, you have the opportunity to work on a variety and unique set of problems by leveraging state of the art ML technologies. From unsupervised learning techniques to semi-supervised, supervised and deep learning. You will lead and support a team to dive into those spaces and explore how we can make our products better.


Partnership matters— You are a strong collaborator, you will collaborate with broader teams within AMP and across Apple and influence on our platform, architecture and project decisions from time to time.


Quality is the key — you will be leading the team to build high quality software, to work in a highly collaborative environment that strives to make our products better, to participate and influence on how we do ML engineering here to improve quality of our products. From project proposal, design discussions/reviews, code reviews, writing code that is robust, reusable, testable and maintainable, all the way to make sure our products are performant and scalable.


If you want to be part of this amazing team, this is the team to join!


Education & Experience

PhD or Master’s degree in Machine Learning, Computer Science, Computer Engineering, or equivalent experience.


Role Number: 200358088",
Apple,"AIML - Sr Data Scientist, AIML Data","Seattle, WA","AIML - Sr Data Scientist, AIML Data, Apple, Seattle, WA, Hide job, 10 connections work here, 1 week ago","Summary

Do you get excited by driving product impact via measurement and evaluation, for products and services used by hundreds of millions of people globally?


The vision for the AIML Data organization is to improve products by using data as the voice of our customers. Within this organization the mission of the Search Analytics team is to inform product evolution through measurement, evaluation, and analysis of the user experience.


You will partner with Search engineering teams to improve search quality and guide feature development with data, to deliver amazing search experiences across iPhone, iPad, HomePod, Mac, Watch, tv, across dozens of languages.


Key Qualifications

Proficiency in data science, machine learning, and analytics, including statistical data analysis and A/B testing. Experience crafting, conducting, analyzing, and interpreting experiments and investigations.

Experience articulating and translating business questions and using statistical techniques to arrive at an answer using available data.

Capable of driving projects of varying sizes and scopes - some will take months and some weeks — and you will need to know when to dive deep.

Strong communication skills and the ability to naturally explain difficult technical topics (especially causal topics) to everyone from data scientists to engineers to business partners.

Strong programming skills, including data-querying skills (SQL and/or Spark, etc.) and experience with a scripting language for data processing and development (e.g., Python, R, or Scala).

5 years of relevant work experience.


Description

Research and develop evaluation methods to improve the quality of Siri’s user facing products. Work with evaluation/experimentation engineering teams to get your methodological developments translated into technologies that Siri engineering will use every day.

Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct analysis that includes data gathering and requirements specification, processing, analysis, ongoing work, and presentations.

Build and prototype analysis pipelines iteratively to provide insights at scale. Develop comprehensive knowledge of Siri Search data structures and metrics, advocating for changes where needed for product development.

Partner closely with Siri search engineering teams on core machine learning algorithms and systems that are part of Siri’s ability to understand and respond to requests. You should be passionate about building outstanding products. This position involves a wide variety of skills and innovation.


Education & Experience

Advanced degree in a quantitative field such as Statistics, Operational Research, Bioinformatics, Economics, Psychology, Computer Science, Sociology, Mathematics, Physics, or similar quantitative field.


Role Number: 200438044",1 week ago
Apple,Marketing Experimentation Data Scientist,"Culver City, CA","Marketing Experimentation Data Scientist, Apple, Culver City, CA, Hide job, 10 connections work here, 1 week ago","Summary

Services at Apple help hundreds of millions of customers get the most out of the devices they love through amazing apps, award-winning shows and movies, immersive music in spatial audio, world-class workouts and meditations, super fun games and more.


The Apple Media Products Data Science & Analytics organization is passionate about developing discerning insights and machine learning solutions to help continually improve these services and accelerate growth while maintaining a strong dedication to customer privacy.


We are currently seeking an experienced Marketing Experimentation Data Scientist to own A/B Testing end-to-end, build partner relationships, and grow Apple’s subscription services.


As key members of our diverse and dynamic organization, we have the rare and rewarding opportunity to work with datasets of unique magnitude, richness, and dedication to user privacy that will frequently require innovative ways. We work collaboratively with partners across Business, Marketing, Product and Engineering daily to deliver material customer and business value.


Key Qualifications

3+ years of proven ability as a Data Scientist, Data Analyst, or Data Engineer. Preferably for a digital media, MarTech, digital subscription business, or technology business.

2+ years applied experience in building sophisticated datasets that enable data science and BI. Experience working with structured and unstructured data stored in distributed files systems.

Strong proficiency with SQL, Python or R. Experience with data visualization tools a plus.

Strong background and knowledge in statistics, probability, and data analysis.

Project ownership with an ability to condense & communicate sophisticated concepts and analysis into clear and concise takeaways that drive action.


Description

Partner with Business and Engineering to define data collection, reporting requirements, metrics, and aggregates to power testing, machine learning, and reporting.


Apply statistical methods, such as A/B Testing, causal inferences, and etc, to identify incrementality, benchmarking, sizing, forecasting, and etc to accurately understand the effect of multiple and often interrelated initiatives.


Establish, improve, and socialize top line and operational metrics that accurately represent the business state of health to craft the product strategy.


Education & Experience

Minimum of a Bachelors degree in Computer Science, Statistics, Mathematics, Engineering, Economics or related field. Advanced degree preferred.


Role Number: 200319806",1 week ago
Apple,"AI/ML - Software Engineer, Siri Understanding","Cupertino, CA","AI/ML - Software Engineer, Siri Understanding, Apple, Cupertino, CA, $116K/yr - $200K/yr (LinkedIn est.), Hide job, 206 company alumni work here, Promoted","Summary

Play a part in the next revolution in human-computer interaction. Collaborate with software engineers as well as machine learning engineers/ scientists in several technical areas spanning the entire range of Siri's capabilities (speech recognition, natural language understanding, dialogue management). Have the opportunity to innovate, create groundbreaking technology, build prototypes of user-facing features and magical experiences, and work with a cross-functional team to ship these magical experiences to millions of users.


Key Qualifications

In-depth development experience with server-side Java and/or C++

Excellent algorithm and data structure skills (time and space complexity analysis, optimization, etc.)

Strong object-oriented programming and design skills, at both the systems level and application level

Flexibility to code both in Java and C++

Proven ability to quickly learn and modify large, existing code base

Passion for building demo prototypes and turning them into production quality design/implementation

Strong communication skills to work well with cross-functional engineering teams

Excellent problem solving and critical thinking, good at seeing the big picture

Ability to work in a fast-paced environment with rapidly changing priorities

Enthusiasm for learning and applying data science and machine learning on the job

Passionate about creating phenomenal products and experiences for our users


Description

The Siri Team is looking for someone with a combination of strong programming skills and a creative, user-focused mindset. This role would take Siri to the next level of intelligence and accuracy by using advanced statistical techniques to improve the quality of customer features. This involves working on core machine learning algorithms and systems that are part of Siri's ability to understand and respond to requests. You should be able to thrive in a fast-paced environment with rapidly-changing priorities and technology stacks. A thirst for designing new technology with a user-first mindset is essential.


SPECIFIC RESPONSIBILITIES INCLUDE:

- Develop Siri features end-to-end, including proactively collaborating with XF teams as needed for progression.

- Work with multiple teams across the organization to gain a deep understanding of the Siri architecture.

- Develop systems that are highly reliable, scalable, but surprisingly easy to maintain.

- Be actively involved in collaborating on product direction, giving feedback in the right way to the team, and bringing new issues up in a safe way for team discussion.


Education & Experience

B.S. or M.S. degree in Computer Science, or equivalent experience


Role Number: 200194913",
