company,position,location,full_text,details,post_date
Meta,"Data Scientist, Small Business Group","Los Angeles, CA","Data Scientist, Small Business Group, Meta, Los Angeles, CA, Hide job, 28 connections work here, 1 week ago","The Small Business Group (SBG) contributes directly to Meta’s mission by connecting small businesses with their customers and helping them grow through solutions like pages, advertising, and offers. We succeed when we help our customers grow their business. The SBG team is searching for a Data Scientist. The Data Scientist will use data analysis to understand customer profiles, produce reports to track our business, build models to provide insight into the Small Business customer base, identify opportunities, and impact the strategy of our Product, Marketing, and Sales teams. Ideal candidates love breaking down problems, building solutions, delivering actionable and data-driven insights, and working in a fast-paced, dynamic environment.

Data Scientist, Small Business Group Responsibilities:

Take advantage of massive amounts of structured data to understand how our customers interact with our product and service offerings
Proactively identify opportunities to improve the experience of businesses on the Meta family of apps using data science
Lead the design, analysis, and interpretation of projects from data requirement gathering to data processing, modeling, and recommendations
Partner with cross-functional teams to identify new opportunities requiring the use of modern analytical and modeling techniques
Design and execute experiments (e.g., A/B testing, multi-armed bandit)
Effectively communicate insights and recommendations to business leads and influence strategic decision-making
Frequently switch between on-the-ground tactical execution and 30k foot strategy

Minimum Qualifications:

2+ years of experience in a data science capacity in a business strategy, marketing, finance, engineering, or analytics organization
Experience with data querying and manipulation using SQL, Python, or R
Experience with experimental design
Experience with data analysis and statistical modeling using the R or Python ecosystems, with packages such as pandas, statsmodels, scikit-learn, tidyverse (dplyr, ggplot2, etc.)
Communication and presentation skills
Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.

Preferred Qualifications:

An MBA or Master’s or Doctorate degree in a quantitative discipline like Math, Statistics, Economics, Computer Science, Physics, Engineering, Operations Research
Self-starter, comfortable with ambiguity, experience initiating and driving projects with minimal oversight and guidance
Proven track record of leveraging data to deliver business value and present data-driven insights to business audiences
Experience building cross functional relationships across a variety of functions to launch projects to drive business value
Experience communicating with and influencing technical and non-technical audiences (engineers, data scientists, program managers, marketers)
Experience developing data pipelines via SQL and Python-based ETL framework
Experience shipping code into production
Experience writing testable code
Comfortable using version control tools such as git or mercurial
Experience with Small Business landscape and/or online marketing and advertising
Experience working with or in support of diverse communities

Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",1 week ago
Meta,"Data Scientist, Small Business Group","Austin, TX","Data Scientist, Small Business Group, Meta, Austin, TX, Hide job, 94 company alumni work here, 2 weeks ago","The Small Business Group (SBG) contributes directly to Meta’s mission by connecting small businesses with their customers and helping them grow through solutions like pages, advertising, and offers. We succeed when we help our customers grow their business. The SBG team is searching for a Data Scientist. The Data Scientist will use data analysis to understand customer profiles, produce reports to track our business, build models to provide insight into the Small Business customer base, identify opportunities, and impact the strategy of our Product, Marketing, and Sales teams. Ideal candidates love breaking down problems, building solutions, delivering actionable and data-driven insights, and working in a fast-paced, dynamic environment.

Data Scientist, Small Business Group Responsibilities:

Take advantage of massive amounts of structured data to understand how our customers interact with our product and service offerings
Proactively identify opportunities to improve the experience of businesses on the Meta family of apps using data science
Lead the design, analysis, and interpretation of projects from data requirement gathering to data processing, modeling, and recommendations
Partner with cross-functional teams to identify new opportunities requiring the use of modern analytical and modeling techniques
Design and execute experiments (e.g., A/B testing, multi-armed bandit)
Effectively communicate insights and recommendations to business leads and influence strategic decision-making
Frequently switch between on-the-ground tactical execution and 30k foot strategy

Minimum Qualifications:

2+ years of experience in a data science capacity in a business strategy, marketing, finance, engineering, or analytics organization
Experience with data querying and manipulation using SQL, Python, or R
Experience with experimental design
Experience with data analysis and statistical modeling using the R or Python ecosystems, with packages such as pandas, statsmodels, scikit-learn, tidyverse (dplyr, ggplot2, etc.)
Communication and presentation skills
Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.

Preferred Qualifications:

An MBA or Master’s or Doctorate degree in a quantitative discipline like Math, Statistics, Economics, Computer Science, Physics, Engineering, Operations Research
Self-starter, comfortable with ambiguity, experience initiating and driving projects with minimal oversight and guidance
Proven track record of leveraging data to deliver business value and present data-driven insights to business audiences
Experience building cross functional relationships across a variety of functions to launch projects to drive business value
Experience communicating with and influencing technical and non-technical audiences (engineers, data scientists, program managers, marketers)
Experience developing data pipelines via SQL and Python-based ETL framework
Experience shipping code into production
Experience writing testable code
Comfortable using version control tools such as git or mercurial
Experience with Small Business landscape and/or online marketing and advertising
Experience working with or in support of diverse communities

Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",2 weeks ago
Meta,"Data Scientist, Small Business Group","San Francisco, CA","Data Scientist, Small Business Group, Meta, San Francisco, CA, Hide job, 28 connections work here, 1 week ago","The Small Business Group (SBG) contributes directly to Meta’s mission by connecting small businesses with their customers and helping them grow through solutions like pages, advertising, and offers. We succeed when we help our customers grow their business. The SBG team is searching for a Data Scientist. The Data Scientist will use data analysis to understand customer profiles, produce reports to track our business, build models to provide insight into the Small Business customer base, identify opportunities, and impact the strategy of our Product, Marketing, and Sales teams. Ideal candidates love breaking down problems, building solutions, delivering actionable and data-driven insights, and working in a fast-paced, dynamic environment.

Data Scientist, Small Business Group Responsibilities:

Take advantage of massive amounts of structured data to understand how our customers interact with our product and service offerings
Proactively identify opportunities to improve the experience of businesses on the Meta family of apps using data science
Lead the design, analysis, and interpretation of projects from data requirement gathering to data processing, modeling, and recommendations
Partner with cross-functional teams to identify new opportunities requiring the use of modern analytical and modeling techniques
Design and execute experiments (e.g., A/B testing, multi-armed bandit)
Effectively communicate insights and recommendations to business leads and influence strategic decision-making
Frequently switch between on-the-ground tactical execution and 30k foot strategy

Minimum Qualifications:

2+ years of experience in a data science capacity in a business strategy, marketing, finance, engineering, or analytics organization
Experience with data querying and manipulation using SQL, Python, or R
Experience with experimental design
Experience with data analysis and statistical modeling using the R or Python ecosystems, with packages such as pandas, statsmodels, scikit-learn, tidyverse (dplyr, ggplot2, etc.)
Communication and presentation skills
Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.

Preferred Qualifications:

An MBA or Master’s or Doctorate degree in a quantitative discipline like Math, Statistics, Economics, Computer Science, Physics, Engineering, Operations Research
Self-starter, comfortable with ambiguity, experience initiating and driving projects with minimal oversight and guidance
Proven track record of leveraging data to deliver business value and present data-driven insights to business audiences
Experience building cross functional relationships across a variety of functions to launch projects to drive business value
Experience communicating with and influencing technical and non-technical audiences (engineers, data scientists, program managers, marketers)
Experience developing data pipelines via SQL and Python-based ETL framework
Experience shipping code into production
Experience writing testable code
Comfortable using version control tools such as git or mercurial
Experience with Small Business landscape and/or online marketing and advertising
Experience working with or in support of diverse communities

Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",1 week ago
Meta,"Data Scientist, Small Business Group","Seattle, WA","Data Scientist, Small Business Group, Meta, Seattle, WA, Hide job, 28 connections work here, 1 week ago","The Small Business Group (SBG) contributes directly to Meta’s mission by connecting small businesses with their customers and helping them grow through solutions like pages, advertising, and offers. We succeed when we help our customers grow their business. The SBG team is searching for a Data Scientist. The Data Scientist will use data analysis to understand customer profiles, produce reports to track our business, build models to provide insight into the Small Business customer base, identify opportunities, and impact the strategy of our Product, Marketing, and Sales teams. Ideal candidates love breaking down problems, building solutions, delivering actionable and data-driven insights, and working in a fast-paced, dynamic environment.

Data Scientist, Small Business Group Responsibilities:

Take advantage of massive amounts of structured data to understand how our customers interact with our product and service offerings
Proactively identify opportunities to improve the experience of businesses on the Meta family of apps using data science
Lead the design, analysis, and interpretation of projects from data requirement gathering to data processing, modeling, and recommendations
Partner with cross-functional teams to identify new opportunities requiring the use of modern analytical and modeling techniques
Design and execute experiments (e.g., A/B testing, multi-armed bandit)
Effectively communicate insights and recommendations to business leads and influence strategic decision-making
Frequently switch between on-the-ground tactical execution and 30k foot strategy

Minimum Qualifications:

2+ years of experience in a data science capacity in a business strategy, marketing, finance, engineering, or analytics organization
Experience with data querying and manipulation using SQL, Python, or R
Experience with experimental design
Experience with data analysis and statistical modeling using the R or Python ecosystems, with packages such as pandas, statsmodels, scikit-learn, tidyverse (dplyr, ggplot2, etc.)
Communication and presentation skills
Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.

Preferred Qualifications:

An MBA or Master’s or Doctorate degree in a quantitative discipline like Math, Statistics, Economics, Computer Science, Physics, Engineering, Operations Research
Self-starter, comfortable with ambiguity, experience initiating and driving projects with minimal oversight and guidance
Proven track record of leveraging data to deliver business value and present data-driven insights to business audiences
Experience building cross functional relationships across a variety of functions to launch projects to drive business value
Experience communicating with and influencing technical and non-technical audiences (engineers, data scientists, program managers, marketers)
Experience developing data pipelines via SQL and Python-based ETL framework
Experience shipping code into production
Experience writing testable code
Comfortable using version control tools such as git or mercurial
Experience with Small Business landscape and/or online marketing and advertising
Experience working with or in support of diverse communities

Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",1 week ago
Meta,"Data Scientist, Analytics",United States,"Data Scientist, Analytics, Meta, United States, Remote, Hide job, Your profile matches this job, 2 weeks ago","In this role, your primary responsibility will be to partner with key stakeholders and program managers, and lead the development of analytics programs to support and enable the continued growth critical to Meta's Data Center E2E lifecycle. As we plan to grow our Data Center footprint, we need to leverage data to drive decisions and introduce automation, predictability & optimization to allow us to operate efficiently and reliably at scale. You will be responsible for creating end-to-end analytics programs, from data sourcing to surfacing insights and driving action, for various aspects of Meta's global data center operations. You will also help translate business problems to data science problems, identify solutions and efficiency opportunities. You will be expected to use data to provide meaningful recommendations and actionable strategies to key stakeholders, and develop best practices, including streamlining of data sources and related programmatic initiatives. The ideal candidate will have a passion for working in white space and creating impact from the ground up in a fast-paced environment. Additionally, you will have a proven track record of thought leadership and impact in developing similar analytics and metrics-based programs. This position is part of the Infrastructure Data Centers organization.

Data Scientist, Analytics Responsibilities:

Leverage data and business principles to drive large scale Meta’s Data Center programs.
Define and develop the program for metrics creation, data collection, modeling, and reporting the operational performance of Meta’s data centers.
Collaborate with cross-functional data and business teams to define problem statements, access and manipulate data, build analytical models, explain data-gathering requirements, deliver analytics insights, and make recommendations.
Define, compute, track, and continuously validate business metrics with descriptive and predictive analytics. Leverage tools like Python, SQL, R, and Tableau for analytics.
Design & Implement statistical models such as Hypothesis testing, Forecasting, statistical process control and simulation to evaluate critical business decisions and influence our Data Center planning & Operations.
Identify gaps in the operational processes, build analytical models for finding insights and helping in driving decisions across different org leadership.
Provide mentorship to other members of the team on development of best practices for design and implementation of cutting-edge analytics insights.
Lead and support various ad hoc projects, as needed, in support of Data Center strategy.

Minimum Qualifications:

Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience.
Degree in an analytical field (e.g. Engineering, Mathematics, Statistics, Operations Research, Management Science, or related field)
6+ years of hands-on experience analyzing and interpreting data, developing metrics, drawing conclusions, recommending actions, and reporting results across stakeholders
6+ years of experience in advanced SQL queries development
6+ years of experience with scripting in Python, R or similar languages
6+ years of experience of working with visualization tools such as Tableau, Power BI, or similar
6+ years of experience of end-to-end managing and leading many cross-functional projects and cross-functional teams (both internal and external)
Proven thought leader in data analytics who can independently solve ambiguous problems
Advanced communication and storytelling experience to influence all organizational levels (engineers, executives and cross functional teams) to drive business decisions
Experience in developing data driven analytical models to solve complex business problems
Knowledge of statistics (e.g. modeling, experimental design, Hypothesis etc.)
Be a self-starter, motivated by an interest for developing the best possible solutions

Preferred Qualifications:

Technical knowledge of data center operations
Advanced degree in the above analytical fields
Knowledge of simulation and optimization techniques

Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",2 weeks ago
Meta,"Data Scientist, Small Business Group","Menlo Park, CA","Data Scientist, Small Business Group, Meta, Menlo Park, CA, Hide job, 28 connections work here, 1 week ago","The Small Business Group (SBG) contributes directly to Meta’s mission by connecting small businesses with their customers and helping them grow through solutions like pages, advertising, and offers. We succeed when we help our customers grow their business. The SBG team is searching for a Data Scientist. The Data Scientist will use data analysis to understand customer profiles, produce reports to track our business, build models to provide insight into the Small Business customer base, identify opportunities, and impact the strategy of our Product, Marketing, and Sales teams. Ideal candidates love breaking down problems, building solutions, delivering actionable and data-driven insights, and working in a fast-paced, dynamic environment.

Data Scientist, Small Business Group Responsibilities:

Take advantage of massive amounts of structured data to understand how our customers interact with our product and service offerings
Proactively identify opportunities to improve the experience of businesses on the Meta family of apps using data science
Lead the design, analysis, and interpretation of projects from data requirement gathering to data processing, modeling, and recommendations
Partner with cross-functional teams to identify new opportunities requiring the use of modern analytical and modeling techniques
Design and execute experiments (e.g., A/B testing, multi-armed bandit)
Effectively communicate insights and recommendations to business leads and influence strategic decision-making
Frequently switch between on-the-ground tactical execution and 30k foot strategy

Minimum Qualifications:

2+ years of experience in a data science capacity in a business strategy, marketing, finance, engineering, or analytics organization
Experience with data querying and manipulation using SQL, Python, or R
Experience with experimental design
Experience with data analysis and statistical modeling using the R or Python ecosystems, with packages such as pandas, statsmodels, scikit-learn, tidyverse (dplyr, ggplot2, etc.)
Communication and presentation skills
Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.

Preferred Qualifications:

An MBA or Master’s or Doctorate degree in a quantitative discipline like Math, Statistics, Economics, Computer Science, Physics, Engineering, Operations Research
Self-starter, comfortable with ambiguity, experience initiating and driving projects with minimal oversight and guidance
Proven track record of leveraging data to deliver business value and present data-driven insights to business audiences
Experience building cross functional relationships across a variety of functions to launch projects to drive business value
Experience communicating with and influencing technical and non-technical audiences (engineers, data scientists, program managers, marketers)
Experience developing data pipelines via SQL and Python-based ETL framework
Experience shipping code into production
Experience writing testable code
Comfortable using version control tools such as git or mercurial
Experience with Small Business landscape and/or online marketing and advertising
Experience working with or in support of diverse communities

Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",1 week ago
Meta,"Data Scientist, Small Business Group","New York, NY","Data Scientist, Small Business Group, Meta, New York, NY, Hide job, 28 connections work here, 1 week ago","The Small Business Group (SBG) contributes directly to Meta’s mission by connecting small businesses with their customers and helping them grow through solutions like pages, advertising, and offers. We succeed when we help our customers grow their business. The SBG team is searching for a Data Scientist. The Data Scientist will use data analysis to understand customer profiles, produce reports to track our business, build models to provide insight into the Small Business customer base, identify opportunities, and impact the strategy of our Product, Marketing, and Sales teams. Ideal candidates love breaking down problems, building solutions, delivering actionable and data-driven insights, and working in a fast-paced, dynamic environment.

Data Scientist, Small Business Group Responsibilities:

Take advantage of massive amounts of structured data to understand how our customers interact with our product and service offerings
Proactively identify opportunities to improve the experience of businesses on the Meta family of apps using data science
Lead the design, analysis, and interpretation of projects from data requirement gathering to data processing, modeling, and recommendations
Partner with cross-functional teams to identify new opportunities requiring the use of modern analytical and modeling techniques
Design and execute experiments (e.g., A/B testing, multi-armed bandit)
Effectively communicate insights and recommendations to business leads and influence strategic decision-making
Frequently switch between on-the-ground tactical execution and 30k foot strategy

Minimum Qualifications:

2+ years of experience in a data science capacity in a business strategy, marketing, finance, engineering, or analytics organization
Experience with data querying and manipulation using SQL, Python, or R
Experience with experimental design
Experience with data analysis and statistical modeling using the R or Python ecosystems, with packages such as pandas, statsmodels, scikit-learn, tidyverse (dplyr, ggplot2, etc.)
Communication and presentation skills
Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.

Preferred Qualifications:

An MBA or Master’s or Doctorate degree in a quantitative discipline like Math, Statistics, Economics, Computer Science, Physics, Engineering, Operations Research
Self-starter, comfortable with ambiguity, experience initiating and driving projects with minimal oversight and guidance
Proven track record of leveraging data to deliver business value and present data-driven insights to business audiences
Experience building cross functional relationships across a variety of functions to launch projects to drive business value
Experience communicating with and influencing technical and non-technical audiences (engineers, data scientists, program managers, marketers)
Experience developing data pipelines via SQL and Python-based ETL framework
Experience shipping code into production
Experience writing testable code
Comfortable using version control tools such as git or mercurial
Experience with Small Business landscape and/or online marketing and advertising
Experience working with or in support of diverse communities

Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",1 week ago
Meta,"Data Scientist, Small Business Group",United States,"Data Scientist, Small Business Group, Meta, United States, Remote, 28 connections work here, 1 week ago","The Small Business Group (SBG) contributes directly to Meta’s mission by connecting small businesses with their customers and helping them grow through solutions like pages, advertising, and offers. We succeed when we help our customers grow their business. The SBG team is searching for a Data Scientist. The Data Scientist will use data analysis to understand customer profiles, produce reports to track our business, build models to provide insight into the Small Business customer base, identify opportunities, and impact the strategy of our Product, Marketing, and Sales teams. Ideal candidates love breaking down problems, building solutions, delivering actionable and data-driven insights, and working in a fast-paced, dynamic environment.

Data Scientist, Small Business Group Responsibilities:

Take advantage of massive amounts of structured data to understand how our customers interact with our product and service offerings
Proactively identify opportunities to improve the experience of businesses on the Meta family of apps using data science
Lead the design, analysis, and interpretation of projects from data requirement gathering to data processing, modeling, and recommendations
Partner with cross-functional teams to identify new opportunities requiring the use of modern analytical and modeling techniques
Design and execute experiments (e.g., A/B testing, multi-armed bandit)
Effectively communicate insights and recommendations to business leads and influence strategic decision-making
Frequently switch between on-the-ground tactical execution and 30k foot strategy

Minimum Qualifications:

2+ years of experience in a data science capacity in a business strategy, marketing, finance, engineering, or analytics organization
Experience with data querying and manipulation using SQL, Python, or R
Experience with experimental design
Experience with data analysis and statistical modeling using the R or Python ecosystems, with packages such as pandas, statsmodels, scikit-learn, tidyverse (dplyr, ggplot2, etc.)
Communication and presentation skills
Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.

Preferred Qualifications:

An MBA or Master’s or Doctorate degree in a quantitative discipline like Math, Statistics, Economics, Computer Science, Physics, Engineering, Operations Research
Self-starter, comfortable with ambiguity, experience initiating and driving projects with minimal oversight and guidance
Proven track record of leveraging data to deliver business value and present data-driven insights to business audiences
Experience building cross functional relationships across a variety of functions to launch projects to drive business value
Experience communicating with and influencing technical and non-technical audiences (engineers, data scientists, program managers, marketers)
Experience developing data pipelines via SQL and Python-based ETL framework
Experience shipping code into production
Experience writing testable code
Comfortable using version control tools such as git or mercurial
Experience with Small Business landscape and/or online marketing and advertising
Experience working with or in support of diverse communities

Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",1 week ago
Meta,"Data Scientist, Small Business Group","Chicago, IL","Data Scientist, Small Business Group, Meta, Chicago, IL, Hide job, 28 connections work here, 1 week ago","The Small Business Group (SBG) contributes directly to Meta’s mission by connecting small businesses with their customers and helping them grow through solutions like pages, advertising, and offers. We succeed when we help our customers grow their business. The SBG team is searching for a Data Scientist. The Data Scientist will use data analysis to understand customer profiles, produce reports to track our business, build models to provide insight into the Small Business customer base, identify opportunities, and impact the strategy of our Product, Marketing, and Sales teams. Ideal candidates love breaking down problems, building solutions, delivering actionable and data-driven insights, and working in a fast-paced, dynamic environment.

Data Scientist, Small Business Group Responsibilities:

Take advantage of massive amounts of structured data to understand how our customers interact with our product and service offerings
Proactively identify opportunities to improve the experience of businesses on the Meta family of apps using data science
Lead the design, analysis, and interpretation of projects from data requirement gathering to data processing, modeling, and recommendations
Partner with cross-functional teams to identify new opportunities requiring the use of modern analytical and modeling techniques
Design and execute experiments (e.g., A/B testing, multi-armed bandit)
Effectively communicate insights and recommendations to business leads and influence strategic decision-making
Frequently switch between on-the-ground tactical execution and 30k foot strategy

Minimum Qualifications:

2+ years of experience in a data science capacity in a business strategy, marketing, finance, engineering, or analytics organization
Experience with data querying and manipulation using SQL, Python, or R
Experience with experimental design
Experience with data analysis and statistical modeling using the R or Python ecosystems, with packages such as pandas, statsmodels, scikit-learn, tidyverse (dplyr, ggplot2, etc.)
Communication and presentation skills
Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.

Preferred Qualifications:

An MBA or Master’s or Doctorate degree in a quantitative discipline like Math, Statistics, Economics, Computer Science, Physics, Engineering, Operations Research
Self-starter, comfortable with ambiguity, experience initiating and driving projects with minimal oversight and guidance
Proven track record of leveraging data to deliver business value and present data-driven insights to business audiences
Experience building cross functional relationships across a variety of functions to launch projects to drive business value
Experience communicating with and influencing technical and non-technical audiences (engineers, data scientists, program managers, marketers)
Experience developing data pipelines via SQL and Python-based ETL framework
Experience shipping code into production
Experience writing testable code
Comfortable using version control tools such as git or mercurial
Experience with Small Business landscape and/or online marketing and advertising
Experience working with or in support of diverse communities

Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",1 week ago
Meta,"Data Scientist, Analytics","Bellevue, WA","Data Scientist, Analytics, Meta, Bellevue, WA, Hide job, Your profile matches this job, 2 weeks ago","In this role, your primary responsibility will be to partner with key stakeholders and program managers, and lead the development of analytics programs to support and enable the continued growth critical to Meta's Data Center E2E lifecycle. As we plan to grow our Data Center footprint, we need to leverage data to drive decisions and introduce automation, predictability & optimization to allow us to operate efficiently and reliably at scale. You will be responsible for creating end-to-end analytics programs, from data sourcing to surfacing insights and driving action, for various aspects of Meta's global data center operations. You will also help translate business problems to data science problems, identify solutions and efficiency opportunities. You will be expected to use data to provide meaningful recommendations and actionable strategies to key stakeholders, and develop best practices, including streamlining of data sources and related programmatic initiatives. The ideal candidate will have a passion for working in white space and creating impact from the ground up in a fast-paced environment. Additionally, you will have a proven track record of thought leadership and impact in developing similar analytics and metrics-based programs. This position is part of the Infrastructure Data Centers organization.

Data Scientist, Analytics Responsibilities:

Leverage data and business principles to drive large scale Meta’s Data Center programs.
Define and develop the program for metrics creation, data collection, modeling, and reporting the operational performance of Meta’s data centers.
Collaborate with cross-functional data and business teams to define problem statements, access and manipulate data, build analytical models, explain data-gathering requirements, deliver analytics insights, and make recommendations.
Define, compute, track, and continuously validate business metrics with descriptive and predictive analytics. Leverage tools like Python, SQL, R, and Tableau for analytics.
Design & Implement statistical models such as Hypothesis testing, Forecasting, statistical process control and simulation to evaluate critical business decisions and influence our Data Center planning & Operations.
Identify gaps in the operational processes, build analytical models for finding insights and helping in driving decisions across different org leadership.
Provide mentorship to other members of the team on development of best practices for design and implementation of cutting-edge analytics insights.
Lead and support various ad hoc projects, as needed, in support of Data Center strategy.

Minimum Qualifications:

Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience.
Degree in an analytical field (e.g. Engineering, Mathematics, Statistics, Operations Research, Management Science, or related field)
6+ years of hands-on experience analyzing and interpreting data, developing metrics, drawing conclusions, recommending actions, and reporting results across stakeholders
6+ years of experience in advanced SQL queries development
6+ years of experience with scripting in Python, R or similar languages
6+ years of experience of working with visualization tools such as Tableau, Power BI, or similar
6+ years of experience of end-to-end managing and leading many cross-functional projects and cross-functional teams (both internal and external)
Proven thought leader in data analytics who can independently solve ambiguous problems
Advanced communication and storytelling experience to influence all organizational levels (engineers, executives and cross functional teams) to drive business decisions
Experience in developing data driven analytical models to solve complex business problems
Knowledge of statistics (e.g. modeling, experimental design, Hypothesis etc.)
Be a self-starter, motivated by an interest for developing the best possible solutions

Preferred Qualifications:

Technical knowledge of data center operations
Advanced degree in the above analytical fields
Knowledge of simulation and optimization techniques

Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",2 weeks ago
