company,position,location,full_text,details
Microsoft,Senior Data & Applied Scientist,"Phoenix, AZ","Senior Data & Applied Scientist, Microsoft, Phoenix, AZ, Hide job, 385 alumni work here, Promoted, 8 applicants","Do you want to be on the leading edge of using big data and help drive development decisions for the biggest productivity software on the planet? Office Experience Organization (office core apps like Word, Excel, PowerPoint, Planner, Forms and more) has embarked on a mission to delight our customers by using data driven engineering to develop compelling products and services. Office is looking for an experienced Data Scientist with a passion for measuring the impact of AI features across the Office product suite. This Data Scientist will leverage petabytes of data, economic and statistical modeling, and experimentation to quantify user engagement, satisfaction, and growth of AI Services.



The role involves working with application teams (like Word, Excel, PowerPoint, Project, Planner, OneNote, Teams, and Outlook), other data scientists, data engineers and program managers to continuously improve our understanding of AI feature usage, retention, and user satisfaction.

We are looking for a strong Data Scientist with a proven track record in data driven decision making. Ideal candidates should be able to identify a business or engineering problem and translate it to a data science problem, dig out sources of data, conduct the analysis and modeling, including solving complex machine learning problems that drive our strategic thinking and product development. They should also be able to work with the PMs and the engineering teams to operationalize the solutions.

Responsibilities

Core Skills:
Identifies data sources, integrates multiple sources, or types of data, and applies expertise within a data source to develop methods to compensate for limitations and extend the applicability of the data.
Applies (or develops if necessary) tools and pipelines to efficiently collect, clean, and prepare massive volumes of data for analysis.
Transforms formulated problems into implementation plans for experiments by applying (and creating when necessary) the appropriate methods, algorithms, and tools, and statistically validating the results against biases and errors.
Interprets results and develops insights into formulated problems within the business/customer context and provides guidance on risks and limitations.
Presents findings to product and engineering leadership and incorporates feedback on the analyses.
Acquires and uses broad knowledge of innovative methods, algorithms, and tools from within Microsoft and from the scientific literature and applies his or her own analysis of scalability and applicability to the formulated problem.
Validates, monitors, and drives continuous improvement to methods, and proposes enhancements to data sources that improve usability and results.
Works collaboratively with PMs to translate the business needs into metrics and then works with data engineering to implement these metrics including identifying and obtaining the necessary data.
Qualifications

Requirements:
4+ years of applying statistical modeling, ML or data mining algorithms to real world problems.
Expert in one or more statistical software like R, SAS, etc.
Expert in one or more scripting languages like Python, Scala, or SQL
Solid foundation of statistical modeling and machine learning algorithms and experimental design
Deep understanding of big data systems including map reduce technologies like Hadoop and Spark. (Spark Preferred)
B.S. and/or M.S. (Ph.D. Preferred) in Computer Science, Statistics, Operations Research, or similar quantitative field.
Preferred Skills
Experience writing Scala packages
Experience contributing to open-source projects
2 + years working with Spark
Experience with Kubernetes
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Microsoft,Senior Data & Applied Scientist,"Philadelphia, PA","Senior Data & Applied Scientist, Microsoft, Philadelphia, PA, Hide job, You have a preferred skill badge, Promoted, 10 applicants","Do you want to be on the leading edge of using big data and help drive development decisions for the biggest productivity software on the planet? Office Experience Organization (office core apps like Word, Excel, PowerPoint, Planner, Forms and more) has embarked on a mission to delight our customers by using data driven engineering to develop compelling products and services. Office is looking for an experienced Data Scientist with a passion for measuring the impact of AI features across the Office product suite. This Data Scientist will leverage petabytes of data, economic and statistical modeling, and experimentation to quantify user engagement, satisfaction, and growth of AI Services.



The role involves working with application teams (like Word, Excel, PowerPoint, Project, Planner, OneNote, Teams, and Outlook), other data scientists, data engineers and program managers to continuously improve our understanding of AI feature usage, retention, and user satisfaction.

We are looking for a strong Data Scientist with a proven track record in data driven decision making. Ideal candidates should be able to identify a business or engineering problem and translate it to a data science problem, dig out sources of data, conduct the analysis and modeling, including solving complex machine learning problems that drive our strategic thinking and product development. They should also be able to work with the PMs and the engineering teams to operationalize the solutions.

Responsibilities

Core Skills:
Identifies data sources, integrates multiple sources, or types of data, and applies expertise within a data source to develop methods to compensate for limitations and extend the applicability of the data.
Applies (or develops if necessary) tools and pipelines to efficiently collect, clean, and prepare massive volumes of data for analysis.
Transforms formulated problems into implementation plans for experiments by applying (and creating when necessary) the appropriate methods, algorithms, and tools, and statistically validating the results against biases and errors.
Interprets results and develops insights into formulated problems within the business/customer context and provides guidance on risks and limitations.
Presents findings to product and engineering leadership and incorporates feedback on the analyses.
Acquires and uses broad knowledge of innovative methods, algorithms, and tools from within Microsoft and from the scientific literature and applies his or her own analysis of scalability and applicability to the formulated problem.
Validates, monitors, and drives continuous improvement to methods, and proposes enhancements to data sources that improve usability and results.
Works collaboratively with PMs to translate the business needs into metrics and then works with data engineering to implement these metrics including identifying and obtaining the necessary data.
Qualifications

Requirements:
4+ years of applying statistical modeling, ML or data mining algorithms to real world problems.
Expert in one or more statistical software like R, SAS, etc.
Expert in one or more scripting languages like Python, Scala, or SQL
Solid foundation of statistical modeling and machine learning algorithms and experimental design
Deep understanding of big data systems including map reduce technologies like Hadoop and Spark. (Spark Preferred)
B.S. and/or M.S. (Ph.D. Preferred) in Computer Science, Statistics, Operations Research, or similar quantitative field.
Preferred Skills
Experience writing Scala packages
Experience contributing to open-source projects
2 + years working with Spark
Experience with Kubernetes
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Apple,"Senior Machine Learning Engineer - Personalization ML Platform, Apple Media Products","New York, NY","Senior Machine Learning Engineer - Personalization ML Platform, Apple Media Products, Apple, New York, NY, $88K/yr - $177K/yr (LinkedIn est.), Hide job, You have a preferred skill badge, Promoted","Summary

Are you a passionate about building scalable, reliable, maintainable services and solving data and machine learning problems at scale? Join the Apple Media Products journey. The Apple Media Products Personalization Team is looking for extraordinary engineers to help build next-generation search features for Apple's ground breaking devices and platforms. We are a key part of the Apple ecosystem, supporting millions of users and billions of transactions. We operate in hundreds of countries and dozens of languages. We strive to provide the best experience for our customers. As part of this group, you will work with one of the most exciting high performance computing environments, with petabytes of data, millions of queries per second, and have an opportunity to imagine and build products that delight our customers every single day!

Key Qualifications

Applicants will have 5+ years experience in industry as a Software Engineer

Applicants will be able to demonstrate creativity, initiative and the ability to work to deadlines.

Proficiency in building large scale data infrastructure

Experience in distributed computing, micro-services architecture and server side technologies.

Experience developing machine learning/deep learning solutions

Experience with Hadoop/Map-Reduce/Spark Experience with cloud-native deployment

Experience with continuous integration and continuous development solutions

Experience with alerting, monitoring and remediation automation in a large scale distributed environment

Familiarity with A/B experimentation and data/metric-driven product development

Excellent interpersonal and communication skills - working independently and/or in small teams

Passion for building high-quality user experiences with attention to detail

Description

On this team, you will be one of the founding members of the new Personalization ML Platform team; We design and build a new generation of ML platform and core infrastructure for the Apple Media Products Personalization team. We apply leading-edge technologies to engineer machine learning infrastructure that will be used for developing machine learned models that help showcase the best content in Apple's ecosystem to our users while delivering on Apple's privacy commitments. Your work will be essential in full cycle of algorithm innovation from data discovery to deploying machine learning models to production.

Education & Experience

Master’s degree or foreign equivalent in Computer Science, Information Technology, Software Engineering, or related field and 5+ years of experience in the job offered or related occupation.


Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants.

Additional Requirements

Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants.

Role Number: 200378886"
Microsoft,Senior Data & Applied Scientist,"Birmingham, AL","Senior Data & Applied Scientist, Microsoft, Birmingham, AL, Hide job, You have a preferred skill badge, Promoted, 8 applicants","Do you want to be on the leading edge of using big data and help drive development decisions for the biggest productivity software on the planet? Office Experience Organization (office core apps like Word, Excel, PowerPoint, Planner, Forms and more) has embarked on a mission to delight our customers by using data driven engineering to develop compelling products and services. Office is looking for an experienced Data Scientist with a passion for measuring the impact of AI features across the Office product suite. This Data Scientist will leverage petabytes of data, economic and statistical modeling, and experimentation to quantify user engagement, satisfaction, and growth of AI Services.



The role involves working with application teams (like Word, Excel, PowerPoint, Project, Planner, OneNote, Teams, and Outlook), other data scientists, data engineers and program managers to continuously improve our understanding of AI feature usage, retention, and user satisfaction.

We are looking for a strong Data Scientist with a proven track record in data driven decision making. Ideal candidates should be able to identify a business or engineering problem and translate it to a data science problem, dig out sources of data, conduct the analysis and modeling, including solving complex machine learning problems that drive our strategic thinking and product development. They should also be able to work with the PMs and the engineering teams to operationalize the solutions.

Responsibilities

Core Skills:
Identifies data sources, integrates multiple sources, or types of data, and applies expertise within a data source to develop methods to compensate for limitations and extend the applicability of the data.
Applies (or develops if necessary) tools and pipelines to efficiently collect, clean, and prepare massive volumes of data for analysis.
Transforms formulated problems into implementation plans for experiments by applying (and creating when necessary) the appropriate methods, algorithms, and tools, and statistically validating the results against biases and errors.
Interprets results and develops insights into formulated problems within the business/customer context and provides guidance on risks and limitations.
Presents findings to product and engineering leadership and incorporates feedback on the analyses.
Acquires and uses broad knowledge of innovative methods, algorithms, and tools from within Microsoft and from the scientific literature and applies his or her own analysis of scalability and applicability to the formulated problem.
Validates, monitors, and drives continuous improvement to methods, and proposes enhancements to data sources that improve usability and results.
Works collaboratively with PMs to translate the business needs into metrics and then works with data engineering to implement these metrics including identifying and obtaining the necessary data.
Qualifications

Requirements:
4+ years of applying statistical modeling, ML or data mining algorithms to real world problems.
Expert in one or more statistical software like R, SAS, etc.
Expert in one or more scripting languages like Python, Scala, or SQL
Solid foundation of statistical modeling and machine learning algorithms and experimental design
Deep understanding of big data systems including map reduce technologies like Hadoop and Spark. (Spark Preferred)
B.S. and/or M.S. (Ph.D. Preferred) in Computer Science, Statistics, Operations Research, or similar quantitative field.
Preferred Skills
Experience writing Scala packages
Experience contributing to open-source projects
2 + years working with Spark
Experience with Kubernetes
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Apple,Data Scientist - AppleCare Business Insights,"Austin, TX","Data Scientist - AppleCare Business Insights, Apple, Austin, TX, Hide job, 9 connections work here, 1 week ago","Summary

Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish! The people here at Apple don’t just create products - they create the kind of wonder that’s revolutionized entire industries. It’s the diversity of those people and their ideas that inspires the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. Join Apple, and help us leave the world better than we found it.


AppleCare Business Insights team is seeking a Data Scientist who will help define, execute, and identify insights that influence new strategies for supporting the customer journey feedback loop. You will also be a hands-on, passionate and deep specialist with analytics tools. Experience with advanced machine learning or statistics, experience working with BI tools and a keen analytical mind are key for success in this fast-paced environment.

Key Qualifications

Industry experience in a Data Science role, in the areas of Data Mining, Machine Learning, Statistics and BI Visualizations.

Strong experience in customer support, preferably in the area of product feedback. Exposure in defining critical metrics for a customer support business.

High level proficiency with R, Python, Tableau and SQL.

Knowledge of statistical methods including Logistic Regression, Multiple Linear Regression, Factor Analysis, Structural Equation Modeling, ANOVA (Design of Experiments), Time Series Methods etc.

Knowledge of Machine Learning algorithms like: SVM, Neural Nets, Random Forest, K-means clustering, K nearest neighbor, Association Rule Learning etc. Expertise with Text Mining methods is especially desired.

Familiarity with database modeling and data warehousing principles with a solid understanding of SQL.

Ability to synthesize data from multiple sources for a deep understanding of opportunities.

Deep business thinking skills, with the ability to answer business questions, with quantitative and qualitative analysis.

Excellent interpersonal, written, and verbal communication skills.

Ability to work independently and make key decisions on projects

Description

Analyzing and evaluating the performance of key business metrics for customer journey. This would include mining data from various BI systems, analyzing implications and providing thoughtful analysis to the organization. Analyze large datasets to glean actionable insights and present results of analysis to team and leadership across Apple. Thinking deeply about ways to support new programs while improving the accuracy of our product issue classifications, ensuring data integrity, and scaling the team's analytical capabilities.

Education & Experience

MS or BS in a quantitative field (Statistics, Computer Science, Ops Research, etc.)

Role Number: 200394551"
Apple,"Data Scientist - Beacon@Apple, Muslim Community","Cupertino, CA","Data Scientist - Beacon@Apple, Muslim Community, Apple, Cupertino, CA, $98K/yr - $225K/yr (LinkedIn est.), Hide job, 9 connections work here, 8 hours ago, Within the past 24 hours","Summary

The people here at Apple don’t just create products – we build the kind of wonder that’s revolutionized entire industries! It’s the diversity of our people and their ideas that encourages the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. Join Apple and help us leave the world better than we found it!

As part of a team of Retail-Online analytics specialists, you’re deeply committed to the two-sided challenge of supporting the Apple’s Retail Real Estate teams to drive data driven decision making, strategic insights and long term planning activities and help craft business strategies that are fueled by the output of this process. The position will be located in Cupertino and will work with the Manager – Online Analytics.

Key Qualifications

5-7 years leading sophisticated data science projects as an individual contributor.

Expert knowledge in developing econometric models, frameworks and solutions that help drive decision making and business strategy.

Expert level knowledge of applied regression techniques including, but not limited to: Linear, Logistic, Mixed models, Distributed Lags, Time Series, GLM & Simultaneous Equations.

Understanding of Experimental design, causal impact and Bayesian techniques to tackle complex business problems.

Demonstrated proficiency in synthesizing sophisticated analysis into simple, meaningful and measurable insights for leadership consumption whilst building tools for practical applications.

Hands on Python/R experience across both structured and distributed data environments with expertise across machine learning and data science libraries (e.g., scikit-learn, pandas, matplotlib, seaborn, tidyverse, etc.).

Excellent written and oral communications skills to prepare, present and explain sophisticated analyses to key partners including senior leadership.

Description

The Retail-Online Analytics team is responsible for providing insights and analytical solutions to Digital Marketing and Marcom, Online Merchandising and eCommerce commercial teams, Online Product Management, Retail Real Estate as well as Finance partners.

We are seeking an experienced Data Scientist within the Decision Support COE to drive and execute strategic data science projects for Apple Retail. This role will primarily focus on:

- Developing sophisticated econometric models that help understand efficiency and returns on future investment decisions

- Drive strategic insights by diving deep into the data to uncover trends and patterns that support larger business objectives

- Connect the dots between multiple complex sources of data within Apple to stitch a cohesive story backed by data driven approach

- Proactiveness in exploring complex data, systems, tools whist working collaboratively across teams in driving projects forward

Education & Experience

Master’s Degree in Statistics, GIS, Applied Economics, or related disciplines with 5 or more of related work experience Bachelor’s Degree considered with at least 7+ years of relevant work experience

Role Number: 200349660"
Microsoft,Senior Data & Applied Scientist,"Albany, NY","Senior Data & Applied Scientist, Microsoft, Albany, NY, Hide job, You have a preferred skill badge, Promoted, 7 applicants","Do you want to be on the leading edge of using big data and help drive development decisions for the biggest productivity software on the planet? Office Experience Organization (office core apps like Word, Excel, PowerPoint, Planner, Forms and more) has embarked on a mission to delight our customers by using data driven engineering to develop compelling products and services. Office is looking for an experienced Data Scientist with a passion for measuring the impact of AI features across the Office product suite. This Data Scientist will leverage petabytes of data, economic and statistical modeling, and experimentation to quantify user engagement, satisfaction, and growth of AI Services.



The role involves working with application teams (like Word, Excel, PowerPoint, Project, Planner, OneNote, Teams, and Outlook), other data scientists, data engineers and program managers to continuously improve our understanding of AI feature usage, retention, and user satisfaction.

We are looking for a strong Data Scientist with a proven track record in data driven decision making. Ideal candidates should be able to identify a business or engineering problem and translate it to a data science problem, dig out sources of data, conduct the analysis and modeling, including solving complex machine learning problems that drive our strategic thinking and product development. They should also be able to work with the PMs and the engineering teams to operationalize the solutions.

Responsibilities

Core Skills:
Identifies data sources, integrates multiple sources, or types of data, and applies expertise within a data source to develop methods to compensate for limitations and extend the applicability of the data.
Applies (or develops if necessary) tools and pipelines to efficiently collect, clean, and prepare massive volumes of data for analysis.
Transforms formulated problems into implementation plans for experiments by applying (and creating when necessary) the appropriate methods, algorithms, and tools, and statistically validating the results against biases and errors.
Interprets results and develops insights into formulated problems within the business/customer context and provides guidance on risks and limitations.
Presents findings to product and engineering leadership and incorporates feedback on the analyses.
Acquires and uses broad knowledge of innovative methods, algorithms, and tools from within Microsoft and from the scientific literature and applies his or her own analysis of scalability and applicability to the formulated problem.
Validates, monitors, and drives continuous improvement to methods, and proposes enhancements to data sources that improve usability and results.
Works collaboratively with PMs to translate the business needs into metrics and then works with data engineering to implement these metrics including identifying and obtaining the necessary data.
Qualifications

Requirements:
4+ years of applying statistical modeling, ML or data mining algorithms to real world problems.
Expert in one or more statistical software like R, SAS, etc.
Expert in one or more scripting languages like Python, Scala, or SQL
Solid foundation of statistical modeling and machine learning algorithms and experimental design
Deep understanding of big data systems including map reduce technologies like Hadoop and Spark. (Spark Preferred)
B.S. and/or M.S. (Ph.D. Preferred) in Computer Science, Statistics, Operations Research, or similar quantitative field.
Preferred Skills
Experience writing Scala packages
Experience contributing to open-source projects
2 + years working with Spark
Experience with Kubernetes
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Microsoft,Senior Data & Applied Scientist,"Scottsdale, AZ","Senior Data & Applied Scientist, Microsoft, Scottsdale, AZ, Hide job, 13 connections work here, Promoted, 7 applicants","Do you want to be on the leading edge of using big data and help drive development decisions for the biggest productivity software on the planet? Office Experience Organization (office core apps like Word, Excel, PowerPoint, Planner, Forms and more) has embarked on a mission to delight our customers by using data driven engineering to develop compelling products and services. Office is looking for an experienced Data Scientist with a passion for measuring the impact of AI features across the Office product suite. This Data Scientist will leverage petabytes of data, economic and statistical modeling, and experimentation to quantify user engagement, satisfaction, and growth of AI Services.



The role involves working with application teams (like Word, Excel, PowerPoint, Project, Planner, OneNote, Teams, and Outlook), other data scientists, data engineers and program managers to continuously improve our understanding of AI feature usage, retention, and user satisfaction.

We are looking for a strong Data Scientist with a proven track record in data driven decision making. Ideal candidates should be able to identify a business or engineering problem and translate it to a data science problem, dig out sources of data, conduct the analysis and modeling, including solving complex machine learning problems that drive our strategic thinking and product development. They should also be able to work with the PMs and the engineering teams to operationalize the solutions.

Responsibilities

Core Skills:
Identifies data sources, integrates multiple sources, or types of data, and applies expertise within a data source to develop methods to compensate for limitations and extend the applicability of the data.
Applies (or develops if necessary) tools and pipelines to efficiently collect, clean, and prepare massive volumes of data for analysis.
Transforms formulated problems into implementation plans for experiments by applying (and creating when necessary) the appropriate methods, algorithms, and tools, and statistically validating the results against biases and errors.
Interprets results and develops insights into formulated problems within the business/customer context and provides guidance on risks and limitations.
Presents findings to product and engineering leadership and incorporates feedback on the analyses.
Acquires and uses broad knowledge of innovative methods, algorithms, and tools from within Microsoft and from the scientific literature and applies his or her own analysis of scalability and applicability to the formulated problem.
Validates, monitors, and drives continuous improvement to methods, and proposes enhancements to data sources that improve usability and results.
Works collaboratively with PMs to translate the business needs into metrics and then works with data engineering to implement these metrics including identifying and obtaining the necessary data.
Qualifications

Requirements:
4+ years of applying statistical modeling, ML or data mining algorithms to real world problems.
Expert in one or more statistical software like R, SAS, etc.
Expert in one or more scripting languages like Python, Scala, or SQL
Solid foundation of statistical modeling and machine learning algorithms and experimental design
Deep understanding of big data systems including map reduce technologies like Hadoop and Spark. (Spark Preferred)
B.S. and/or M.S. (Ph.D. Preferred) in Computer Science, Statistics, Operations Research, or similar quantitative field.
Preferred Skills
Experience writing Scala packages
Experience contributing to open-source projects
2 + years working with Spark
Experience with Kubernetes
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Microsoft,Senior Data & Applied Scientist,"Charlotte, NC","Senior Data & Applied Scientist, Microsoft, Charlotte, NC, $77K/yr - $138K/yr (LinkedIn est.), Hide job, You have a preferred skill badge, Promoted, 11 applicants","Do you want to be on the leading edge of using big data and help drive development decisions for the biggest productivity software on the planet? Office Experience Organization (office core apps like Word, Excel, PowerPoint, Planner, Forms and more) has embarked on a mission to delight our customers by using data driven engineering to develop compelling products and services. Office is looking for an experienced Data Scientist with a passion for measuring the impact of AI features across the Office product suite. This Data Scientist will leverage petabytes of data, economic and statistical modeling, and experimentation to quantify user engagement, satisfaction, and growth of AI Services.



The role involves working with application teams (like Word, Excel, PowerPoint, Project, Planner, OneNote, Teams, and Outlook), other data scientists, data engineers and program managers to continuously improve our understanding of AI feature usage, retention, and user satisfaction.

We are looking for a strong Data Scientist with a proven track record in data driven decision making. Ideal candidates should be able to identify a business or engineering problem and translate it to a data science problem, dig out sources of data, conduct the analysis and modeling, including solving complex machine learning problems that drive our strategic thinking and product development. They should also be able to work with the PMs and the engineering teams to operationalize the solutions.

Responsibilities

Core Skills:
Identifies data sources, integrates multiple sources, or types of data, and applies expertise within a data source to develop methods to compensate for limitations and extend the applicability of the data.
Applies (or develops if necessary) tools and pipelines to efficiently collect, clean, and prepare massive volumes of data for analysis.
Transforms formulated problems into implementation plans for experiments by applying (and creating when necessary) the appropriate methods, algorithms, and tools, and statistically validating the results against biases and errors.
Interprets results and develops insights into formulated problems within the business/customer context and provides guidance on risks and limitations.
Presents findings to product and engineering leadership and incorporates feedback on the analyses.
Acquires and uses broad knowledge of innovative methods, algorithms, and tools from within Microsoft and from the scientific literature and applies his or her own analysis of scalability and applicability to the formulated problem.
Validates, monitors, and drives continuous improvement to methods, and proposes enhancements to data sources that improve usability and results.
Works collaboratively with PMs to translate the business needs into metrics and then works with data engineering to implement these metrics including identifying and obtaining the necessary data.
Qualifications

Requirements:
4+ years of applying statistical modeling, ML or data mining algorithms to real world problems.
Expert in one or more statistical software like R, SAS, etc.
Expert in one or more scripting languages like Python, Scala, or SQL
Solid foundation of statistical modeling and machine learning algorithms and experimental design
Deep understanding of big data systems including map reduce technologies like Hadoop and Spark. (Spark Preferred)
B.S. and/or M.S. (Ph.D. Preferred) in Computer Science, Statistics, Operations Research, or similar quantitative field.
Preferred Skills
Experience writing Scala packages
Experience contributing to open-source projects
2 + years working with Spark
Experience with Kubernetes
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Microsoft,Senior Data & Applied Scientist,"Cleveland, OH","Senior Data & Applied Scientist, Microsoft, Cleveland, OH, Hide job, 43 company alumni work here, Promoted, 8 applicants","Do you want to be on the leading edge of using big data and help drive development decisions for the biggest productivity software on the planet? Office Experience Organization (office core apps like Word, Excel, PowerPoint, Planner, Forms and more) has embarked on a mission to delight our customers by using data driven engineering to develop compelling products and services. Office is looking for an experienced Data Scientist with a passion for measuring the impact of AI features across the Office product suite. This Data Scientist will leverage petabytes of data, economic and statistical modeling, and experimentation to quantify user engagement, satisfaction, and growth of AI Services.



The role involves working with application teams (like Word, Excel, PowerPoint, Project, Planner, OneNote, Teams, and Outlook), other data scientists, data engineers and program managers to continuously improve our understanding of AI feature usage, retention, and user satisfaction.

We are looking for a strong Data Scientist with a proven track record in data driven decision making. Ideal candidates should be able to identify a business or engineering problem and translate it to a data science problem, dig out sources of data, conduct the analysis and modeling, including solving complex machine learning problems that drive our strategic thinking and product development. They should also be able to work with the PMs and the engineering teams to operationalize the solutions.

Responsibilities

Core Skills:
Identifies data sources, integrates multiple sources, or types of data, and applies expertise within a data source to develop methods to compensate for limitations and extend the applicability of the data.
Applies (or develops if necessary) tools and pipelines to efficiently collect, clean, and prepare massive volumes of data for analysis.
Transforms formulated problems into implementation plans for experiments by applying (and creating when necessary) the appropriate methods, algorithms, and tools, and statistically validating the results against biases and errors.
Interprets results and develops insights into formulated problems within the business/customer context and provides guidance on risks and limitations.
Presents findings to product and engineering leadership and incorporates feedback on the analyses.
Acquires and uses broad knowledge of innovative methods, algorithms, and tools from within Microsoft and from the scientific literature and applies his or her own analysis of scalability and applicability to the formulated problem.
Validates, monitors, and drives continuous improvement to methods, and proposes enhancements to data sources that improve usability and results.
Works collaboratively with PMs to translate the business needs into metrics and then works with data engineering to implement these metrics including identifying and obtaining the necessary data.
Qualifications

Requirements:
4+ years of applying statistical modeling, ML or data mining algorithms to real world problems.
Expert in one or more statistical software like R, SAS, etc.
Expert in one or more scripting languages like Python, Scala, or SQL
Solid foundation of statistical modeling and machine learning algorithms and experimental design
Deep understanding of big data systems including map reduce technologies like Hadoop and Spark. (Spark Preferred)
B.S. and/or M.S. (Ph.D. Preferred) in Computer Science, Statistics, Operations Research, or similar quantitative field.
Preferred Skills
Experience writing Scala packages
Experience contributing to open-source projects
2 + years working with Spark
Experience with Kubernetes
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
